title,author,image,tags,sinopsis,price,real_price,n_pages,editorial,lang,encuadernacion,ISBN,year,date
VALORES SOCIALES Y CÍVICOS 5º EDUCACION PRIMARIA PROYECTO REVUELA MADRID ED 2022,,https://imagessl4.casadellibro.com/a/l/t5/14/9788413925714.jpg,"Libros de Texto y Formación,Educación primaria",,10.37,9.85,88,EDICIONES SM,CASTELLANO,Tapa blanda,9788413925714,2022,30/04/2022
NADA,CARMEN LAFORET,https://imagessl0.casadellibro.com/a/l/t5/80/9788423356980.jpg,"Literatura,Narrativa en bolsillo,Narrativa española del XIX al XXI en bolsillo","Andrea llega a Barcelona para estudiar Letras. Sus ilusiones chocan, inmediatamente, con el ambiente de tensión y emociones violentas que reina en casa de su abuela. Andrea relata el contraste entre este sórdido microcosmos familiar—poblado de seres extraños y apasionantes—y la frágil cordialidad de sus relaciones universitarias, centradas en la bella y luminosa Ena. Finalmente los dos mundos convergen en un diálogo dramático. ",19.90,18.90,368,DESTINO,CASTELLANO,,9788423356980,2020,28/01/2020
REGLAMENTO ELECTROTECNICO PARA BAJA TENSION (7ª EDICIÓN),BENILDE BUENO GONZALEZ,https://imagessl9.casadellibro.com/a/l/t5/19/9788426733719.jpg,"Ingeniería,Ingenierías,Ingeniería eléctrica",,21.95,20.85,688, MARCOMBO,CASTELLANO,Tapa blanda,9788426733719,2021,15/10/2021
QUERIDA YO: TENEMOS QUE HABLAR,ELISABETH CLAPES @ESMIPSICOLOGA,https://imagessl7.casadellibro.com/a/l/t5/87/9788418594687.jpg,"Psicología y Pedagogía,Psicología,Psicología básica","Antes, cuando escuchaba hablar sobre la importancia de ""conocerse a una  misma"", no lo entendía. Cuando llevas treinta años viviendo contigo, ¿se  puede saber que es lo que te falta por conocer? ¿De verdad hay algo que puede pillarte por sorpresa?",16.95,16.10,144,MONTENA,CASTELLANO,Tapa blanda,9788418594687,2022,03/02/2022
NEUROCIENCIA DEL CUERPO,NAZARETH CASTELLANOS,https://imagessl1.casadellibro.com/a/l/t5/31/9788499889931.jpg,"Psicología y Pedagogía,Psicología,Neuropsicología",,14.95,14.20,248,KAIROS,CASTELLANO,Tapa dura,9788499889931,2022,07/09/2022
CORAZON TAN BLANCO,JAVIER MARIAS,https://imagessl2.casadellibro.com/a/l/t5/02/9788483461402.jpg,"Literatura,Narrativa en bolsillo,Narrativa española del XIX al XXI en bolsillo","Este es el ya legendario comienzo de un clásico contemporáneo,",18.90,17.95,320,DEBOLSILLO,CASTELLANO,Tapa blanda,9788483461402,2006,06/10/2006
RETRATARTE,CARLOS DEL AMOR,https://imagessl8.casadellibro.com/a/l/t5/08/9788467066708.jpg,"Arte,Historia del arte,Teoría y crítica de arte",Carlos del Amor va un paso más allá en el viaje a través de los cuadros que emprendió con,9.99,9.49,272, ESPASA LIBROS,CASTELLANO,Tapa blanda,9788467066708,2022,19/10/2022
FURIA (SERIE CRAVE 2),TRACY WOLFF,https://imagessl2.casadellibro.com/a/l/t5/12/9788408240112.jpg,"Juvenil,Más de 15 años,Fantasía y magia","«He vuelto al Instituto Katmere, pero me siento extraña, me atormentan cosas que no recuerdo haber vivido, y sigo luchando por comprender quién o qué soy realmente. Cuando empiezo a sentirme segura de nuevo, Hudson reaparece con sus ideas de venganza, insiste en que hay secretos que no conozco, secretos que pueden abrir una brecha entre Jaxon y yo para siempre. Pero enemigos mucho peores nos están esperando…»",33.40,31.73,800,PLANETA,CASTELLANO,Tapa blanda,9788408240112,2021,17/03/2021
ESCLAVA DE LA LIBERTAD,ILDEFONSO FALCONES,https://imagessl1.casadellibro.com/a/l/t5/91/9788425361791.jpg,Narrativa histórica,"A la isla caribeña arriba un barco portador de una siniestra carga. Más  de setecientas mujeres y niñas secuestradas de su África natal llegan  para trabajar, hasta la extenuación, en los campos de caña de azúcar y  parir hijos que serán también esclavos. Kaweka es una de ellas, una  muchacha que vivirá en primera persona el horror de la esclavitud en la  hacienda del cruel marqués de Santadoma, pero que pronto demostrará a  quienes la rodean que posee la facultad de comulgar con Yemayá. Esta es  una diosa voluble que, en ocasiones, le concede el don de la curación y  le proporciona la fuerza para liderar a sus hermanos de raza en la lucha  por la libertad contra unos opresores que han logrado esclavizar sus cuerpos, pero no sus almas.",6.95,6.60,624,GRIJALBO,CASTELLANO,Tapa dura,9788425361791,2022,30/08/2022
LOS ABRAZOS LENTOS,ELISABET BENAVENT,https://imagessl2.casadellibro.com/a/l/t5/92/9788491297192.jpg,"Novela contemporánea,Narrativa española","
",18.90,17.95,528,SUMA,CASTELLANO,Tapa dura,9788491297192,2022,10/11/2022
LOS RENGLONES TORCIDOS DE DIOS (ED. CONMEMORATIVA 30 ANIVERSARIO),TORCUATO LUCA DE TENA,https://imagessl3.casadellibro.com/a/l/t5/63/9788408088363.jpg,"Novela contemporánea,Narrativa española",,9.95,9.45,512,PLANETA,CASTELLANO,Tapa blanda,9788408088363,2022,21/09/2022
